# Sample AWS VPC Flow Log (default version 2 format)
# version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.5 21251 22 6 20 4249 1418530010 1418530070 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.5 22022 22 6 12 2934 1418530400 1418530460 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.5 22353 22 6 18 3120 1418533010 1418533070 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.2 33421 53 17 2 180 1418530015 1418530020 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.2 33988 53 17 2 180 1418530300 1418530305 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.2 34517 53 17 2 180 1418530600 1418530605 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.2 35104 53 17 2 180 1418531200 1418531205 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.139 10.0.0.2 36777 53 17 2 180 1418532400 1418532405 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.21 10.0.0.7 49152 443 6 35 10500 1418530100 1418530160 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.21 10.0.0.7 49731 443 6 40 12800 1418531100 1418531160 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.21 10.0.0.7 50288 443 6 28 9400 1418532100 1418532160 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 172.31.16.21 10.0.0.7 51009 443 6 31 9900 1418533100 1418533160 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 10.0.0.7 172.31.16.21 443 49152 6 30 15600 1418530100 1418530160 ACCEPT OK
2 123456789010 eni-1235b8ca123456789 198.51.100.7 172.31.16.139 42010 3389 6 10 2100 1418530200 1418530260 REJECT OK
2 123456789010 eni-1235b8ca123456789 198.51.100.7 172.31.16.139 42544 3389 6 8 1700 1418530800 1418530860 REJECT OK
2 123456789010 eni-1235b8ca123456789 - - - - - - - 1418530010 1418530070 - NODATA
2 123456789010 eni-1235b8ca123456789 - - - - - - - 1418530010 1418530070 - SKIPDATA
